name,gender,age,DetailClass,embarked,country,ticketno,fare,sibsp,parch,survived,class
"Abbing, Mr. Anthony",male,42,3rd,S,United States,5547,7.11,0,0,no,3rd
"Abbott, Mr. Eugene Joseph",male,13,3rd,S,United States,2673,20.05,0,2,no,3rd
"Abbott, Mr. Rossmore Edward",male,16,3rd,S,United States,2673,20.05,1,1,no,3rd
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39,3rd,S,England,2673,20.05,1,1,yes,3rd
"Abelseth, Miss. Karen Marie",female,16,3rd,S,Norway,348125,7.13,0,0,yes,3rd
"Abelseth, Mr. Olaus Jørgensen",male,25,3rd,S,United States,348122,7.13,0,0,yes,3rd
"Abelson, Mr. Samuel",male,30,2nd,C,France,3381,24,1,0,no,2nd
"Abelson, Mrs. Hannah",female,28,2nd,C,France,3381,24,1,0,yes,2nd
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27,3rd,C,Lebanon,2699,18.1509,0,0,yes,3rd
"Abrahamsson, Mr. Abraham August Johannes",male,20,3rd,S,Finland,3101284,7.1806,0,0,yes,3rd
"Ådahl, Mr. Mauritz",male,30,3rd,S,Sweden,7076,7.05,0,0,no,3rd
"Adams, Mr. John",male,27,3rd,S,England,341826,8.01,0,0,no,3rd
"Ahlin, Mrs. Johanna Persdotter",female,40,3rd,S,Sweden,7546,9.0906,1,0,no,3rd
"Aks, Master. Frank Philip",male,0.8333333333,3rd,S,England,392091,9.07,0,1,yes,3rd
"Aks, Mrs. Leah",female,18,3rd,S,England,392091,9.07,0,1,yes,3rd
"Aldworth, Mr. Augustus Henry",male,35,2nd,S,England,248744,13,0,0,no,2nd
"Alexander, Mr. William Albert",male,25,3rd,S,England,3474,7.1709,0,0,no,3rd
"Alhomäki, Mr. Ilmari Rudolf",male,19,3rd,S,Finland,3101287,7.1806,0,0,no,3rd
"Ali, Mr. Ahmed",male,24,3rd,S,Argentina,3101311,7.01,0,0,no,3rd
"Ali, Mr. William",male,25,3rd,S,Argentina,3101312,7.01,0,0,no,3rd
"Allen, Miss. Elisabeth Walton",female,29,1st,S,United States,24160,211.6009,0,0,yes,1st
"Allen, Mr. William Henry",male,39,3rd,S,England,373450,8.01,0,0,no,3rd
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,S,Canada,113781,151.16,1,2,yes,1st
"Allison, Miss. Helen Loraine",female,2,1st,S,Canada,113781,151.16,1,2,no,1st
"Allison, Mr. Hudson Joshua Creighton",male,30,1st,S,Canada,113781,151.16,1,2,no,1st
"Allison, Mrs. Bessie Waldo",female,25,1st,S,United States,113781,151.16,1,2,no,1st
"Allum, Mr. Owen George",male,18,3rd,S,England,2223,8.06,0,0,no,3rd
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19,3rd,C,Lebanon,2700,7.0407,0,0,no,3rd
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3rd,S,Denmark,350046,7.1701,1,0,yes,3rd
"Andersen, Mr. Albert Karvin",male,33,3rd,S,Norway,4001,22.1006,0,0,no,3rd
"Anderson, Mr. Harry",male,47,1st,S,United States,19952,26.11,0,0,yes,1st
"Andersson, Master. Sigvard Harald Elias",male,4,3rd,S,Sweden,347082,31.0506,4,2,no,3rd
"Andersson, Miss. Ebba Iris Alfrida",female,6,3rd,S,Sweden,347082,31.0506,4,2,no,3rd
"Andersson, Miss. Ellis Anna Maria",female,2,3rd,S,Sweden,347082,31.0506,4,2,no,3rd
"Andersson, Miss. Erna Alexandra",female,16,3rd,S,Finland,3101281,7.1806,4,2,yes,3rd
"Andersson, Miss. Ida Augusta Margareta",female,38,3rd,S,Sweden,347091,7.1506,4,2,no,3rd
"Andersson, Miss. Ingeborg Constanzia",female,9,3rd,S,Sweden,347082,31.0506,4,2,no,3rd
"Andersson, Miss. Sigrid Elisabeth",female,11,3rd,S,Sweden,347082,31.0506,4,2,no,3rd
"Andersson, Mr. Anders Johan",male,39,3rd,S,Sweden,347082,31.0506,1,5,no,3rd
"Andersson, Mr. Johan Samuel",male,26,3rd,S,Sweden,347075,7.1506,0,0,no,3rd
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39,3rd,S,Sweden,347082,31.0506,1,5,no,3rd
